dataSet,theta,crackBound,algo_index,lastTime,totalTime,buildTime,queryTime
202403-capitalbikeshare-tripdata-time,1400.0,500.0,0,16,56351,5914,50437
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,0,16,55874,6110,49764
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,0,16,55623,6076,49547
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,0,16,55288,5963,49325
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,0,16,54722,5753,48969
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,0,16,54599,5719,48880
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,0,16,54696,5753,48943
202403-capitalbikeshare-tripdata-time,1400.0,500.0,1,16,29103,3885,25218
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,1,16,29117,3865,25252
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,1,16,29049,3880,25169
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,1,16,29240,3915,25325
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,1,16,31010,3903,27107
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,1,16,29283,3883,25400
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,1,16,36887,4432,32455
202403-capitalbikeshare-tripdata-time,1400.0,500.0,2,16,18788,5716,13072
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,2,16,19158,5348,13810
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,2,16,19332,5284,14048
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,2,16,19629,5199,14430
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,2,16,20283,5274,15009
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,2,16,20135,5200,14935
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,2,16,20397,5131,15266
202403-capitalbikeshare-tripdata-time,1400.0,500.0,3,16,56566,5848,50718
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,3,16,55899,6052,49847
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,3,16,56072,5820,50252
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,3,16,55721,5868,49853
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,3,16,55537,5816,49721
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,3,16,55519,5858,49661
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,3,16,55348,5808,49540
202403-capitalbikeshare-tripdata-time,1400.0,500.0,4,16,47661,4682,42979
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,4,16,46747,4806,41941
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,4,16,46343,4690,41653
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,4,16,46137,4777,41360
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,4,16,45975,4739,41236
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,4,16,45437,4681,40756
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,4,16,45201,4701,40500
202403-capitalbikeshare-tripdata-time,1400.0,500.0,5,16,38742,7474,31268
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,5,16,37932,7125,30807
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,5,16,37904,6904,31000
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,5,16,38631,6847,31784
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,5,16,38999,6738,32261
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,5,16,39600,6696,32904
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,5,16,39669,6749,32920
202403-capitalbikeshare-tripdata-time,1400.0,500.0,6,16,93300,9864,83436
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,6,16,93028,9804,83224
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,6,16,92888,9786,83102
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,6,16,93550,9763,83787
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,6,16,93258,9758,83500
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,6,16,92629,9794,82835
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,6,16,94843,10476,84367
202403-capitalbikeshare-tripdata-time,1400.0,500.0,7,16,46524,7232,39292
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,7,16,44292,8472,35820
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,7,16,42425,7044,35381
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,7,16,41931,7506,34425
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,7,16,41505,6864,34641
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,7,16,41216,6703,34513
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,7,16,40964,6685,34279
202403-capitalbikeshare-tripdata-time,1400.0,500.0,8,16,32167,7448,24719
202403-capitalbikeshare-tripdata-time,1400.0,1000.0,8,16,32384,6950,25434
202403-capitalbikeshare-tripdata-time,1400.0,1500.0,8,16,33143,6759,26384
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,8,16,33882,6956,26926
202403-capitalbikeshare-tripdata-time,1400.0,2500.0,8,16,33873,6437,27436
202403-capitalbikeshare-tripdata-time,1400.0,3000.0,8,16,33931,6380,27551
202403-capitalbikeshare-tripdata-time,1400.0,3500.0,8,16,34140,6276,27864
