dataSet,theta,crackBound,algo_index,lastTime,totalTime,buildTime,queryTime
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,0,4,56146,5965,50181
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,0,8,55804,5870,49934
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,0,12,55746,5866,49880
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,0,16,55964,5873,50091
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,0,20,56083,5871,50212
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,0,24,56060,5999,50061
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,0,28,56131,6177,49954
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,1,4,30787,3901,26886
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,1,8,31844,4256,27588
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,1,12,32513,4007,28506
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,1,16,32630,4234,28396
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,1,20,31262,3941,27321
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,1,24,31008,3908,27100
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,1,28,30983,3876,27107
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,2,4,25288,5902,19386
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,2,8,25635,5970,19665
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,2,12,25120,5910,19210
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,2,16,25093,5819,19274
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,2,20,25553,6017,19536
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,2,24,25294,5950,19344
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,2,28,25459,6090,19369
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,3,4,55937,6460,49477
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,3,8,55413,5860,49553
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,3,12,55572,5868,49704
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,3,16,55806,5882,49924
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,3,20,55661,5868,49793
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,3,24,55497,5844,49653
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,3,28,942371,5861,936510
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,4,4,45754,4743,41011
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,4,8,45608,4697,40911
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,4,12,45656,4659,40997
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,4,16,45517,4662,40855
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,4,20,45544,4687,40857
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,4,24,46398,4674,41724
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,4,28,47330,4810,42520
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,5,4,40163,6973,33190
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,5,8,40176,6813,33363
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,5,12,40691,6812,33879
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,5,16,40149,6794,33355
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,5,20,40775,6824,33951
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,5,24,39658,6810,32848
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,5,28,39442,6775,32667
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,6,4,92006,9728,82278
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,6,8,92928,9774,83154
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,6,12,93125,9809,83316
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,6,16,93597,9941,83656
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,6,20,93011,9790,83221
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,6,24,93753,9848,83905
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,6,28,93166,9832,83334
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,7,4,37790,6188,31602
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,7,8,37552,6180,31372
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,7,12,37789,6189,31600
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,7,16,38123,6190,31933
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,7,20,52303,6177,46126
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,7,24,38786,6978,31808
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,7,28,38290,6186,32104
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,8,4,35282,6716,28566
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,8,8,35549,6716,28833
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,8,12,35581,6699,28882
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,8,16,35527,6725,28802
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,8,20,35833,6761,29072
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,8,24,35910,6771,29139
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,8,28,35939,6781,29158
