dataSetIndex,algo_index,query_nums,single_time,accumulated_time
0,0,1,65,65
0,0,2,61,126
0,0,3,59,185
0,0,4,58,243
0,0,5,57,300
0,0,6,57,357
0,0,7,56,413
0,0,8,57,470
0,0,9,57,527
0,0,10,57,584
0,0,11,59,643
0,0,12,58,701
0,0,13,57,758
0,0,14,57,815
0,0,15,56,871
0,0,16,59,930
0,0,17,57,987
0,0,18,58,1045
0,0,19,57,1102
0,0,20,60,1162
0,0,21,62,1224
0,0,22,64,1288
0,0,23,62,1350
0,0,24,61,1411
0,0,25,57,1468
0,0,26,61,1529
0,0,27,58,1587
0,0,28,59,1646
0,0,29,57,1703
0,0,30,58,1761
0,0,31,57,1818
0,0,32,56,1874
0,0,33,57,1931
0,0,34,56,1987
0,0,35,57,2044
0,0,36,57,2101
0,0,37,57,2158
0,0,38,57,2215
0,0,39,61,2276
0,0,40,57,2333
0,0,41,58,2391
0,0,42,58,2449
0,0,43,57,2506
0,0,44,57,2563
0,0,45,57,2620
0,0,46,58,2678
0,0,47,58,2736
0,0,48,59,2795
0,0,49,58,2853
0,0,50,57,2910
0,0,51,57,2967
0,0,52,57,3024
0,0,53,57,3081
0,0,54,56,3137
0,0,55,57,3194
0,0,56,58,3252
0,0,57,57,3309
0,0,58,57,3366
0,0,59,62,3428
0,0,60,60,3488
0,0,61,58,3546
0,0,62,58,3604
0,0,63,59,3663
0,0,64,61,3724
0,0,65,58,3782
0,0,66,60,3842
0,0,67,59,3901
0,0,68,57,3958
0,0,69,57,4015
0,0,70,56,4071
0,0,71,57,4128
0,0,72,57,4185
0,0,73,56,4241
0,0,74,57,4298
0,0,75,56,4354
0,0,76,59,4413
0,0,77,57,4470
0,0,78,56,4526
0,0,79,57,4583
0,0,80,58,4641
0,0,81,57,4698
0,0,82,56,4754
0,0,83,57,4811
0,0,84,57,4868
0,0,85,69,4937
0,0,86,64,5001
0,0,87,61,5062
0,0,88,59,5121
0,0,89,58,5179
0,0,90,57,5236
0,0,91,57,5293
0,0,92,57,5350
0,0,93,58,5408
0,0,94,57,5465
0,0,95,57,5522
0,0,96,58,5580
0,0,97,63,5643
0,0,98,63,5706
0,0,99,60,5766
0,0,100,59,5825
0,0,101,58,5883
0,0,102,58,5941
0,0,103,59,6000
0,0,104,62,6062
0,0,105,59,6121
0,0,106,60,6181
0,0,107,61,6242
0,0,108,61,6303
0,0,109,64,6367
0,0,110,62,6429
0,0,111,59,6488
0,0,112,58,6546
0,0,113,60,6606
0,0,114,58,6664
0,0,115,58,6722
0,0,116,57,6779
0,0,117,59,6838
0,0,118,58,6896
0,0,119,58,6954
0,0,120,57,7011
0,0,121,61,7072
0,0,122,58,7130
0,0,123,56,7186
0,0,124,57,7243
0,0,125,58,7301
0,0,126,68,7369
0,0,127,74,7443
0,0,128,63,7506
0,0,129,68,7574
0,0,130,87,7661
0,0,131,73,7734
0,0,132,64,7798
0,0,133,67,7865
0,0,134,64,7929
0,0,135,65,7994
0,0,136,66,8060
0,0,137,63,8123
0,0,138,60,8183
0,0,139,61,8244
0,0,140,61,8305
0,0,141,62,8367
0,0,142,59,8426
0,0,143,58,8484
0,0,144,58,8542
0,0,145,64,8606
0,0,146,66,8672
0,0,147,62,8734
0,0,148,61,8795
0,0,149,61,8856
0,0,150,67,8923
0,0,151,65,8988
0,0,152,59,9047
0,0,153,57,9104
0,0,154,58,9162
0,0,155,59,9221
0,0,156,58,9279
0,0,157,59,9338
0,0,158,66,9404
0,0,159,59,9463
0,0,160,58,9521
0,0,161,59,9580
0,0,162,61,9641
0,0,163,60,9701
0,0,164,58,9759
0,0,165,57,9816
0,0,166,57,9873
0,0,167,57,9930
0,0,168,57,9987
0,0,169,58,10045
0,0,170,63,10108
0,0,171,60,10168
0,0,172,64,10232
0,0,173,59,10291
0,0,174,61,10352
0,0,175,62,10414
0,0,176,61,10475
0,0,177,60,10535
0,0,178,59,10594
0,0,179,60,10654
0,0,180,57,10711
0,0,181,56,10767
0,0,182,57,10824
0,0,183,56,10880
0,0,184,57,10937
0,0,185,57,10994
0,0,186,57,11051
0,0,187,57,11108
0,0,188,56,11164
0,0,189,57,11221
0,0,190,57,11278
0,0,191,57,11335
0,0,192,56,11391
0,0,193,56,11447
0,0,194,57,11504
0,0,195,57,11561
0,0,196,58,11619
0,0,197,56,11675
0,0,198,57,11732
0,0,199,56,11788
0,0,200,57,11845
0,1,1,56,56
0,1,2,45,101
0,1,3,42,143
0,1,4,42,185
0,1,5,41,226
0,1,6,35,261
0,1,7,42,303
0,1,8,46,349
0,1,9,43,392
0,1,10,46,438
0,1,11,44,482
0,1,12,42,524
0,1,13,43,567
0,1,14,47,614
0,1,15,44,658
0,1,16,44,702
0,1,17,44,746
0,1,18,43,789
0,1,19,44,833
0,1,20,44,877
0,1,21,34,911
0,1,22,34,945
0,1,23,29,974
