dataSet,theta,crackBound,algo_index,lastTime,totalTime,buildTime,queryTime
202403-capitalbikeshare-tripdata-time,800.0,2000.0,0,16,55477,5815,49662
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,0,16,56100,6166,49934
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,0,16,55485,5857,49628
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,0,16,55694,5841,49853
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,0,16,56324,5874,50450
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,0,16,56210,5931,50279
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,0,16,56219,5961,50258
202403-capitalbikeshare-tripdata-time,800.0,2000.0,1,16,32222,3969,28253
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,1,16,30427,3911,26516
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,1,16,30155,3901,26254
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,1,16,29683,3939,25744
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,1,16,32368,3936,28432
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,1,16,30636,3901,26735
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,1,16,31497,4397,27100
202403-capitalbikeshare-tripdata-time,800.0,2000.0,2,16,14087,4629,9458
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,2,16,16192,4911,11281
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,2,16,18346,5160,13186
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,2,16,19772,5254,14518
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,2,16,22452,5524,16928
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,2,16,23688,5661,18027
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,2,16,25348,5875,19473
202403-capitalbikeshare-tripdata-time,800.0,2000.0,3,16,56172,5953,50219
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,3,16,55839,5899,49940
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,3,16,55837,5955,49882
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,3,16,55933,5851,50082
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,3,16,56377,5833,50544
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,3,16,56365,6343,50022
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,3,16,55464,5873,49591
202403-capitalbikeshare-tripdata-time,800.0,2000.0,4,16,45476,4625,40851
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,4,16,46062,4643,41419
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,4,16,45532,4697,40835
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,4,16,45598,4702,40896
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,4,16,45763,4693,41070
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,4,16,46315,4763,41552
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,4,16,45875,4719,41156
202403-capitalbikeshare-tripdata-time,800.0,2000.0,5,16,35187,6551,28636
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,5,16,36849,6636,30213
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,5,16,37791,6708,31083
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,5,16,38987,6983,32004
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,5,16,39458,6933,32525
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,5,16,41769,7373,34396
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,5,16,40727,6923,33804
202403-capitalbikeshare-tripdata-time,800.0,2000.0,6,16,95203,9900,85303
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,6,16,94428,9960,84468
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,6,16,94644,9850,84794
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,6,16,93964,9877,84087
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,6,16,93616,9795,83821
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,6,16,95133,9979,85154
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,6,16,95113,10366,84747
202403-capitalbikeshare-tripdata-time,800.0,2000.0,7,16,49540,7632,41908
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,7,16,44912,7225,37687
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,7,16,43162,7193,35969
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,7,16,41330,6987,34343
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,7,16,39798,6665,33133
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,7,16,39326,6619,32707
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,7,16,39228,6288,32940
202403-capitalbikeshare-tripdata-time,800.0,2000.0,8,16,29926,6023,23903
202403-capitalbikeshare-tripdata-time,1000.0,2000.0,8,16,31113,6511,24602
202403-capitalbikeshare-tripdata-time,1200.0,2000.0,8,16,32918,6474,26444
202403-capitalbikeshare-tripdata-time,1400.0,2000.0,8,16,33596,6618,26978
202403-capitalbikeshare-tripdata-time,1600.0,2000.0,8,16,34549,6620,27929
202403-capitalbikeshare-tripdata-time,1800.0,2000.0,8,16,35959,6893,29066
202403-capitalbikeshare-tripdata-time,2000.0,2000.0,8,16,37018,6863,30155
