dataSetIndex,algo_index,query_nums,time,,,,
0,0,1,111,,,,0. linear scan(LCQ_TCQ) 1. linear scan(LCQ) 2. linear scan(TCQ) 3. LCQ_TCQ 4. LCQ 5. TCQ 6. LCQ_M 7. TCQ_M 8.LCQ_TCQ_M
0,0,11,91,,,,LCQ:146
0,0,21,95,,,,TCQ:257
0,0,31,91,,,,H:038
0,0,41,90,,,,
0,0,51,91,,,,
0,0,61,91,,,,
0,0,71,91,,,,
0,0,81,90,,,,
0,0,91,91,,,,
0,0,101,90,,,,
0,0,111,92,,,,
0,0,121,91,,,,
0,0,131,92,,,,
0,0,141,94,,,,
0,0,151,106,,,,
0,0,161,98,,,,
0,0,171,121,,,,
0,0,181,120,,,,
0,0,191,86,,,,
0,1,1,66,,,,
0,1,11,49,,,,
0,1,21,50,,,,
0,1,31,50,,,,
0,1,41,50,,,,
0,1,51,51,,,,
0,1,61,49,,,,
0,1,71,50,,,,
0,1,81,49,,,,
0,1,91,50,,,,
0,1,101,48,,,,
0,1,111,50,,,,
0,1,121,50,,,,
0,1,131,57,,,,
0,1,141,50,,,,
0,1,151,48,,,,
0,1,161,44,,,,
0,1,171,46,,,,
0,1,181,44,,,,
0,1,191,43,,,,
0,2,1,67,,,,
0,2,11,51,,,,
0,2,21,48,,,,
0,2,31,51,,,,
0,2,41,52,,,,
0,2,51,51,,,,
0,2,61,49,,,,
0,2,71,49,,,,
0,2,81,50,,,,
0,2,91,48,,,,
0,2,101,50,,,,
0,2,111,49,,,,
0,2,121,48,,,,
0,2,131,49,,,,
0,2,141,49,,,,
0,2,151,49,,,,
0,2,161,47,,,,
0,2,171,48,,,,
0,2,181,48,,,,
0,2,191,48,,,,
0,3,1,92,,,,
0,3,11,80,,,,
0,3,21,77,,,,
0,3,31,75,,,,
0,3,41,63,,,,
0,3,51,61,,,,
0,3,61,31,,,,
0,3,71,53,,,,
0,3,81,33,,,,
0,3,91,44,,,,
0,3,101,28,,,,
0,3,111,62,,,,
0,3,121,36,,,,
0,3,131,59,,,,
0,3,141,29,,,,
0,3,151,32,,,,
0,3,161,31,,,,
0,3,171,56,,,,
0,3,181,34,,,,
0,3,191,30,,,,
0,4,1,49,,,,
0,4,11,38,,,,
0,4,21,46,,,,
0,4,31,47,,,,
0,4,41,47,,,,
0,4,51,48,,,,
0,4,61,46,,,,
0,4,71,47,,,,
0,4,81,46,,,,
0,4,91,47,,,,
0,4,101,45,,,,
0,4,111,48,,,,
0,4,121,47,,,,
0,4,131,47,,,,
0,4,141,46,,,,
0,4,151,48,,,,
0,4,161,47,,,,
0,4,171,48,,,,
0,4,181,49,,,,
0,4,191,47,,,,
0,5,1,50,,,,
0,5,11,41,,,,
0,5,21,42,,,,
0,5,31,40,,,,
0,5,41,39,,,,
0,5,51,37,,,,
0,5,61,19,,,,
0,5,71,33,,,,
0,5,81,22,,,,
0,5,91,27,,,,
0,5,101,14,,,,
0,5,111,40,,,,
0,5,121,21,,,,
0,5,131,34,,,,
0,5,141,13,,,,
0,5,151,14,,,,
0,5,161,14,,,,
0,5,171,31,,,,
0,5,181,19,,,,
0,5,191,12,,,,
0,6,1,122,,,,
0,6,11,35,,,,
0,6,21,20,,,,
0,6,31,27,,,,
0,6,41,26,,,,
0,6,51,27,,,,
0,6,61,14,,,,
0,6,71,32,,,,
0,6,81,9,,,,
0,6,91,31,,,,
0,6,101,14,,,,
0,6,111,43,,,,
0,6,121,13,,,,
0,6,131,23,,,,
0,6,141,37,,,,
0,6,151,40,,,,
0,6,161,40,,,,
0,6,171,25,,,,
0,6,181,35,,,,
0,6,191,40,,,,
0,7,1,123,,,,
0,7,11,14,,,,
0,7,21,13,,,,
0,7,31,18,,,,
0,7,41,17,,,,
0,7,51,17,,,,
0,7,61,1,,,,
0,7,71,22,,,,
0,7,81,6,,,,
0,7,91,22,,,,
0,7,101,0,,,,
0,7,111,40,,,,
0,7,121,8,,,,
0,7,131,13,,,,
0,7,141,10,,,,
0,7,151,3,,,,
0,7,161,3,,,,
0,7,171,15,,,,
0,7,181,25,,,,
0,7,191,4,,,,
0,8,1,125,,,,
0,8,11,38,,,,
0,8,21,39,,,,
0,8,31,48,,,,
0,8,41,41,,,,
0,8,51,44,,,,
0,8,61,9,,,,
0,8,71,41,,,,
0,8,81,13,,,,
0,8,91,37,,,,
0,8,101,9,,,,
0,8,111,62,,,,
0,8,121,20,,,,
0,8,131,42,,,,
0,8,141,21,,,,
0,8,151,15,,,,
0,8,161,15,,,,
0,8,171,41,,,,
0,8,181,39,,,,
0,8,191,16,,,,
1,0,1,487,,,,
1,0,11,460,,,,
1,0,21,413,,,,
1,0,31,431,,,,
1,0,41,422,,,,
1,0,51,423,,,,
1,0,61,420,,,,
1,0,71,416,,,,
1,0,81,423,,,,
1,0,91,420,,,,
1,0,101,422,,,,
1,0,111,418,,,,
1,0,121,421,,,,
1,0,131,419,,,,
1,0,141,428,,,,
1,0,151,413,,,,
1,0,161,416,,,,
1,0,171,419,,,,
1,0,181,420,,,,
1,0,191,421,,,,
1,1,1,300,,,,
1,1,11,237,,,,
1,1,21,233,,,,
1,1,31,232,,,,
1,1,41,240,,,,
1,1,51,239,,,,
1,1,61,240,,,,
1,1,71,230,,,,
1,1,81,263,,,,
1,1,91,236,,,,
1,1,101,238,,,,
1,1,111,229,,,,
1,1,121,238,,,,
1,1,131,237,,,,
1,1,141,236,,,,
1,1,151,231,,,,
1,1,161,234,,,,
1,1,171,238,,,,
1,1,181,235,,,,
1,1,191,236,,,,
1,2,1,280,,,,
1,2,11,268,,,,
1,2,21,266,,,,
1,2,31,266,,,,
1,2,41,269,,,,
1,2,51,267,,,,
1,2,61,269,,,,
1,2,71,268,,,,
1,2,81,279,,,,
1,2,91,285,,,,
1,2,101,277,,,,
1,2,111,268,,,,
1,2,121,251,,,,
1,2,131,236,,,,
1,2,141,236,,,,
1,2,151,231,,,,
