dataSet,theta,crackBound,algo_index,time
202402-divvy-tripdata,800,2000,8,4896
202402-divvy-tripdata,1000,2000,8,5430
202402-divvy-tripdata,1200,2000,8,5869
202402-divvy-tripdata,1400,2000,8,5994
202402-divvy-tripdata,1600,2000,8,6564
202402-divvy-tripdata,1800,2000,8,6783
202402-divvy-tripdata,2000,2000,8,7315
202403-capitalbikeshare-tripdata,800,2000,8,23918
202403-capitalbikeshare-tripdata,1000,2000,8,27262
202403-capitalbikeshare-tripdata,1200,2000,8,30193
202403-capitalbikeshare-tripdata,1400,2000,8,33608
202403-capitalbikeshare-tripdata,1600,2000,8,36239
202403-capitalbikeshare-tripdata,1800,2000,8,38978
202403-capitalbikeshare-tripdata,2000,2000,8,41663
combined_chicago_taxi_trip,800,2000,8,123804
combined_chicago_taxi_trip,1000,2000,8,150428
combined_chicago_taxi_trip,1200,2000,8,166516
combined_chicago_taxi_trip,1400,2000,8,168563
combined_chicago_taxi_trip,1600,2000,8,183713
combined_chicago_taxi_trip,1800,2000,8,194102
combined_chicago_taxi_trip,2000,2000,8,191207
