dataSet,theta,crackBound,algo_index,time
202402-divvy-tripdata,1400.0,500.0,0,18895
202402-divvy-tripdata,1400.0,1000.0,0,18930
202402-divvy-tripdata,1400.0,1500.0,0,19031
202402-divvy-tripdata,1400.0,2000.0,0,19059
202402-divvy-tripdata,1400.0,2500.0,0,19116
202402-divvy-tripdata,1400.0,3000.0,0,18928
202402-divvy-tripdata,1400.0,3500.0,0,18782
202402-divvy-tripdata,1400.0,500.0,1,10922
202402-divvy-tripdata,1400.0,1000.0,1,10736
202402-divvy-tripdata,1400.0,1500.0,1,10925
202402-divvy-tripdata,1400.0,2000.0,1,10827
202402-divvy-tripdata,1400.0,2500.0,1,10852
202402-divvy-tripdata,1400.0,3000.0,1,10852
202402-divvy-tripdata,1400.0,3500.0,1,10783
202402-divvy-tripdata,1400.0,500.0,2,11277
202402-divvy-tripdata,1400.0,1000.0,2,11160
202402-divvy-tripdata,1400.0,1500.0,2,11068
202402-divvy-tripdata,1400.0,2000.0,2,11056
202402-divvy-tripdata,1400.0,2500.0,2,10958
202402-divvy-tripdata,1400.0,3000.0,2,11140
202402-divvy-tripdata,1400.0,3500.0,2,11114
202402-divvy-tripdata,1400.0,500.0,3,9056
202402-divvy-tripdata,1400.0,1000.0,3,8945
202402-divvy-tripdata,1400.0,1500.0,3,8950
202402-divvy-tripdata,1400.0,2000.0,3,9128
202402-divvy-tripdata,1400.0,2500.0,3,9113
202402-divvy-tripdata,1400.0,3000.0,3,9308
202402-divvy-tripdata,1400.0,3500.0,3,9236
202402-divvy-tripdata,1400.0,500.0,4,9663
202402-divvy-tripdata,1400.0,1000.0,4,9561
202402-divvy-tripdata,1400.0,1500.0,4,9470
202402-divvy-tripdata,1400.0,2000.0,4,9628
202402-divvy-tripdata,1400.0,2500.0,4,9504
202402-divvy-tripdata,1400.0,3000.0,4,9338
202402-divvy-tripdata,1400.0,3500.0,4,9394
202402-divvy-tripdata,1400.0,500.0,5,5367
202402-divvy-tripdata,1400.0,1000.0,5,5304
202402-divvy-tripdata,1400.0,1500.0,5,5322
202402-divvy-tripdata,1400.0,2000.0,5,5315
202402-divvy-tripdata,1400.0,2500.0,5,5498
202402-divvy-tripdata,1400.0,3000.0,5,5288
202402-divvy-tripdata,1400.0,3500.0,5,5284
202402-divvy-tripdata,1400.0,500.0,6,5577
202402-divvy-tripdata,1400.0,1000.0,6,5749
202402-divvy-tripdata,1400.0,1500.0,6,5797
202402-divvy-tripdata,1400.0,2000.0,6,5718
202402-divvy-tripdata,1400.0,2500.0,6,5774
202402-divvy-tripdata,1400.0,3000.0,6,5897
202402-divvy-tripdata,1400.0,3500.0,6,5834
202402-divvy-tripdata,1400.0,500.0,7,2682
202402-divvy-tripdata,1400.0,1000.0,7,2788
202402-divvy-tripdata,1400.0,1500.0,7,2897
202402-divvy-tripdata,1400.0,2000.0,7,2984
202402-divvy-tripdata,1400.0,2500.0,7,3140
