dataSetIndex,algo_index,query_nums,time
0,0,1,181
0,0,2,166
0,0,3,156
0,0,4,149
0,0,5,150
0,0,6,146
0,0,7,147
0,0,8,151
0,0,9,154
0,0,10,168
0,0,11,171
0,0,12,186
0,0,13,174
0,0,14,151
0,0,15,169
0,0,16,154
0,0,17,147
0,0,18,145
0,0,19,148
0,0,20,155
0,0,21,147
0,0,22,164
0,0,23,149
0,0,24,153
0,0,25,154
0,0,26,155
0,0,27,159
0,0,28,162
0,0,29,155
0,0,30,181
0,0,31,135
0,0,32,147
0,0,33,108
0,0,34,114
0,0,35,99
0,0,36,97
0,0,37,94
0,0,38,92
0,0,39,108
0,0,40,90
0,0,41,91
0,0,42,92
0,0,43,90
0,0,44,102
0,0,45,101
0,0,46,99
0,0,47,100
0,0,48,122
0,0,49,103
0,0,50,94
0,0,51,92
0,0,52,93
0,0,53,112
0,0,54,90
0,0,55,90
0,0,56,93
0,0,57,94
0,0,58,91
0,0,59,96
0,0,60,91
0,0,61,90
0,0,62,103
0,0,63,91
0,0,64,91
0,0,65,98
0,0,66,132
0,0,67,91
0,0,68,97
0,0,69,97
0,0,70,94
0,0,71,110
0,0,72,92
0,0,73,134
0,0,74,89
0,0,75,92
0,0,76,91
0,0,77,92
0,0,78,91
0,0,79,92
0,0,80,105
0,0,81,120
0,0,82,93
0,0,83,91
0,0,84,92
0,0,85,96
0,0,86,97
0,0,87,89
0,0,88,124
0,0,89,105
0,0,90,96
0,0,91,103
0,0,92,99
0,0,93,106
0,0,94,97
0,0,95,93
0,0,96,91
0,0,97,91
0,0,98,93
0,0,99,91
0,0,100,91
0,0,101,104
0,0,102,93
0,0,103,96
0,0,104,91
0,0,105,92
0,0,106,90
0,0,107,90
0,0,108,91
0,0,109,97
0,0,110,99
0,0,111,96
0,0,112,90
0,0,113,91
0,0,114,98
0,0,115,103
0,0,116,104
0,0,117,101
0,0,118,93
0,0,119,89
0,0,120,92
0,0,121,136
0,0,122,112
0,0,123,93
0,0,124,91
0,0,125,103
0,0,126,92
0,0,127,93
0,0,128,95
0,0,129,91
0,0,130,90
0,0,131,91
0,0,132,93
0,0,133,104
0,0,134,90
0,0,135,90
0,0,136,95
0,0,137,96
0,0,138,97
0,0,139,122
0,0,140,100
0,0,141,89
0,0,142,88
0,0,143,100
0,0,144,122
0,0,145,95
0,0,146,91
0,0,147,91
0,0,148,93
0,0,149,91
0,0,150,92
0,0,151,91
0,0,152,92
0,0,153,91
0,0,154,137
0,0,155,90
0,0,156,117
0,0,157,91
0,0,158,96
0,0,159,110
0,0,160,101
0,0,161,110
0,0,162,114
0,0,163,95
0,0,164,110
0,0,165,91
0,0,166,94
0,0,167,91
0,0,168,94
0,0,169,118
0,0,170,83
0,0,171,123
0,0,172,83
0,0,173,86
0,0,174,86
0,0,175,96
0,0,176,86
0,0,177,86
0,0,178,84
0,0,179,87
0,0,180,114
0,0,181,84
0,0,182,83
0,0,183,90
0,0,184,97
0,0,185,111
0,0,186,96
0,0,187,91
0,0,188,92
0,0,189,91
0,0,190,90
0,0,191,84
0,0,192,85
0,0,193,85
0,0,194,85
0,0,195,85
0,0,196,89
0,0,197,115
0,0,198,84
0,0,199,101
0,0,200,84
0,1,1,66
0,1,2,70
0,1,3,54
0,1,4,49
0,1,5,52
0,1,6,51
0,1,7,54
0,1,8,51
0,1,9,50
0,1,10,55
0,1,11,51
0,1,12,49
0,1,13,55
0,1,14,60
0,1,15,50
0,1,16,52
0,1,17,49
0,1,18,52
0,1,19,52
0,1,20,82
0,1,21,53
0,1,22,50
0,1,23,51
0,1,24,50
0,1,25,50
0,1,26,49
0,1,27,61
0,1,28,71
0,1,29,62
0,1,30,48
0,1,31,50
0,1,32,51
0,1,33,52
0,1,34,49
0,1,35,52
0,1,36,60
0,1,37,67
0,1,38,58
0,1,39,57
0,1,40,50
0,1,41,50
0,1,42,50
0,1,43,49
0,1,44,49
0,1,45,49
0,1,46,50
0,1,47,51
0,1,48,51
0,1,49,49
0,1,50,50
0,1,51,52
0,1,52,50
0,1,53,52
0,1,54,66
0,1,55,49
0,1,56,53
0,1,57,49
0,1,58,50
0,1,59,51
0,1,60,51
0,1,61,49
0,1,62,49
0,1,63,50
0,1,64,51
0,1,65,51
0,1,66,50
0,1,67,53
0,1,68,49
0,1,69,71
0,1,70,48
0,1,71,66
