dataSetIndex,algo_index,query_nums,time
0,0,1,111
0,0,2,97
0,0,3,93
0,0,4,92
0,0,5,92
0,0,6,93
0,0,7,91
0,0,8,92
0,0,9,91
0,0,10,91
0,0,11,91
0,0,12,93
0,0,13,93
0,0,14,94
0,0,15,91
0,0,16,94
0,0,17,93
0,0,18,92
0,0,19,91
0,0,20,91
0,0,21,95
0,0,22,92
0,0,23,93
0,0,24,91
0,0,25,92
0,0,26,95
0,0,27,97
0,0,28,95
0,0,29,93
0,0,30,90
0,0,31,91
0,0,32,91
0,0,33,90
0,0,34,90
0,0,35,91
0,0,36,90
0,0,37,91
0,0,38,93
0,0,39,90
0,0,40,91
0,0,41,90
0,0,42,92
0,0,43,92
0,0,44,97
0,0,45,92
0,0,46,93
0,0,47,92
0,0,48,89
0,0,49,90
0,0,50,91
0,0,51,91
0,0,52,92
0,0,53,89
0,0,54,92
0,0,55,90
0,0,56,90
0,0,57,90
0,0,58,89
0,0,59,90
0,0,60,90
0,0,61,91
0,0,62,90
0,0,63,90
0,0,64,90
0,0,65,90
0,0,66,91
0,0,67,89
0,0,68,90
0,0,69,91
0,0,70,93
0,0,71,91
0,0,72,91
0,0,73,91
0,0,74,90
0,0,75,93
0,0,76,91
0,0,77,90
0,0,78,90
0,0,79,89
0,0,80,89
0,0,81,90
0,0,82,90
0,0,83,90
0,0,84,91
0,0,85,90
0,0,86,90
0,0,87,90
0,0,88,90
0,0,89,90
0,0,90,90
0,0,91,91
0,0,92,89
0,0,93,90
0,0,94,90
0,0,95,89
0,0,96,93
0,0,97,90
0,0,98,90
0,0,99,91
0,0,100,89
0,0,101,90
0,0,102,91
0,0,103,90
0,0,104,91
0,0,105,91
0,0,106,90
0,0,107,92
0,0,108,90
0,0,109,90
0,0,110,92
0,0,111,92
0,0,112,92
0,0,113,91
0,0,114,91
0,0,115,91
0,0,116,92
0,0,117,90
0,0,118,91
0,0,119,91
0,0,120,89
0,0,121,91
0,0,122,90
0,0,123,91
0,0,124,91
0,0,125,93
0,0,126,94
0,0,127,90
0,0,128,92
0,0,129,91
0,0,130,92
0,0,131,92
0,0,132,104
0,0,133,95
0,0,134,97
0,0,135,97
0,0,136,97
0,0,137,94
0,0,138,94
0,0,139,92
0,0,140,91
0,0,141,94
0,0,142,91
0,0,143,122
0,0,144,110
0,0,145,123
0,0,146,124
0,0,147,106
0,0,148,104
0,0,149,101
0,0,150,100
0,0,151,106
0,0,152,145
0,0,153,127
0,0,154,118
0,0,155,113
0,0,156,114
0,0,157,105
0,0,158,97
0,0,159,104
0,0,160,115
0,0,161,98
0,0,162,109
0,0,163,115
0,0,164,139
0,0,165,105
0,0,166,107
0,0,167,116
0,0,168,135
0,0,169,126
